lat,lon,acq_date,evi,air_temp_encoded,wind,humidity,elevation,kbdi,fire
39.8413,-120.9273,2020-09-17,0.3212,14499.64,4.384,42.1,1590.0,395.36,1
36.0558,-117.4475,2020-07-30,0.1424,14977.5,4.671,14.3,1788.0,322.14,1
39.197118,-115.502234,2020-09-15,0.2072,14644.64,6.114,16.6,2304.0,247.59,0
37.4936,-119.2021,2020-10-12,0.2851,14407.5,3.03,35.6,1523.0,229.35,1
39.5497,-122.7283,2020-08-20,0.3824,14938.21,3.659,30.1,1055.0,556.24,1
39.9058,-122.9742,2020-09-04,0.4021,14861.79,3.104,27.3,1474.0,517.28,1
37.4973,-115.0166,2020-06-27,0.2478,14851.79,5.901,15.9,1792.0,259.14,1
38.4629,-122.5134,2020-09-28,0.306,14778.93,3.327,34.0,786.0,409.2,1
41.765221,-116.480452,2020-08-12,0.1387,14841.07,6.906,22.9,1613.0,268.0,0
40.169,-123.0082,2020-09-06,0.3016,14796.07,3.11,26.9,1576.0,529.67,1
39.893,-121.3226,2020-10-03,0.4093,14578.93,3.144,25.3,1538.0,413.52,1
40.0563,-123.081,2020-09-16,0.247,14496.07,3.886,41.1,1429.0,485.12,1
40.4077,-120.8318,2020-07-20,0.2878,14793.93,4.044,39.1,1589.0,330.56,1
41.2228,-123.2664,2020-10-02,0.4166,14640.36,2.257,42.0,848.0,433.53,1
36.2219,-118.3852,2020-08-26,0.2514,14480.36,4.057,34.7,2530.0,289.21,1
37.74585,-118.146191,2020-08-20,0.0996,15065.36,4.041,20.6,1680.0,276.44,0
38.917431,-116.955118,2020-09-09,0.1052,14538.93,5.023,16.0,2121.0,232.8,0
39.6191,-122.9173,2020-09-05,0.3598,14873.93,2.936,22.7,1609.0,486.17,1
40.1443,-122.7258,2020-08-19,0.2658,15108.21,3.969,24.1,644.0,584.68,1
38.687743,-117.669656,2020-08-22,0.1031,14967.5,5.663,19.9,1873.0,260.93,0
41.768475,-116.352615,2020-09-12,0.1511,14624.64,4.977,17.0,1600.0,262.67,0
39.6317,-123.1005,2020-09-28,0.2516,14816.79,2.83,36.4,617.0,427.35,1
36.131,-120.5513,2020-07-14,0.2046,14927.5,4.144,35.7,778.0,366.59,1
37.1975,-119.3777,2020-09-06,0.4364,14928.21,2.774,29.3,1239.0,393.86,1
40.0519,-122.9626,2020-09-15,0.1805,14371.79,3.789,37.9,1970.0,488.51,1
41.9158,-123.3704,2020-09-15,0.314,14543.93,3.677,45.0,1178.0,483.12,1
39.42878,-117.71712,2020-08-18,0.1877,14944.64,3.923,20.4,2020.0,262.59,0
39.6204,-121.2302,2020-09-09,0.4932,14793.21,5.407,21.9,1177.0,527.6,1
40.1629,-122.8426,2020-08-29,0.3295,14798.93,3.327,29.4,1419.0,517.65,1
36.2932,-118.6662,2020-09-28,0.3712,14476.07,3.394,33.7,2255.0,266.72,1
37.915566,-117.793799,2020-08-06,0.0894,14979.64,5.459,14.3,1583.0,276.12,0
41.0874,-123.5202,2020-09-03,0.4312,14827.5,3.08,28.3,1348.0,469.49,1
40.5037,-122.6761,2020-09-29,0.4028,14984.64,4.247,24.4,630.0,562.86,1
39.096855,-116.899056,2020-09-09,0.1332,14532.5,4.859,16.1,2202.0,232.8,0
41.118,-123.4157,2020-09-07,0.3439,14906.79,3.429,20.0,1225.0,533.2,1
41.1201,-123.4521,2020-08-29,0.3913,14851.07,3.464,31.7,1105.0,437.23,1
41.4967,-117.8675,2020-10-28,0.0816,13990.36,3.349,31.7,1274.0,165.84,1
34.1333,-116.9648,2020-09-15,0.3908,14551.07,3.794,23.6,1988.0,337.08,1
38.5839,-122.2884,2020-08-19,0.2962,15113.21,3.857,36.4,377.0,429.89,1
38.7272,-122.3821,2020-08-24,0.2666,14958.21,3.961,42.9,333.0,440.22,1
38.425163,-116.979194,2020-07-21,0.1141,14888.21,6.513,16.1,1906.0,234.02,0
36.3227,-118.7599,2020-09-30,0.2674,14582.5,3.341,28.0,2201.0,265.11,1
36.3349,-118.7747,2020-10-03,0.3889,14683.21,3.091,20.6,1720.0,261.89,1
40.2759,-123.1706,2020-09-19,0.3873,14496.07,3.883,52.0,1167.0,517.91,1
34.2804,-117.9451,2020-09-08,0.3413,14891.79,3.43,17.4,1472.0,404.66,1
37.2413,-119.3114,2020-09-06,0.3229,14941.79,3.39,29.9,1297.0,393.86,1
39.7533,-122.5822,2020-08-20,0.2718,15090.36,3.947,26.9,554.0,581.48,1
38.710821,-116.958166,2020-08-27,0.1709,14653.93,4.393,24.6,2504.0,248.94,0
36.3268,-118.7947,2020-09-30,0.5034,14809.64,2.087,25.1,1383.0,265.11,1
36.5089,-118.4093,2020-10-03,0.2079,14384.64,2.681,23.7,2530.0,214.21,1
38.959773,-117.713814,2020-08-08,0.1038,14813.93,4.357,17.7,2027.0,251.03,0
34.69,-118.505,2020-08-13,0.3209,14949.64,4.629,26.9,1328.0,340.74,1
34.478509,-115.412741,2020-08-02,0.0952,15373.93,4.829,11.1,734.0,420.24,0
37.2689,-121.507,2020-08-22,0.3727,15009.64,4.501,38.7,554.0,431.45,1
39.8053,-122.8488,2020-08-23,0.4443,14869.64,2.373,40.9,986.0,535.27,1
38.079728,-117.318538,2020-08-13,0.0773,15009.64,5.259,16.3,1637.0,268.1,0
37.0191,-121.4231,2020-07-06,0.3775,14596.79,4.416,58.3,437.0,343.51,1
34.4247,-117.9034,2020-09-18,0.2124,14863.93,4.173,19.1,1379.0,367.38,1
40.299111,-115.039712,2020-09-02,0.11,14827.5,4.969,18.7,1860.0,278.31,0
37.4997,-121.8554,2020-08-17,0.3724,15058.21,3.3,32.1,666.0,333.37,1
38.949197,-118.3446,2020-09-07,0.0698,14943.93,4.54,15.0,1284.0,269.21,0
36.1949,-118.6659,2020-09-15,0.5524,14644.64,3.053,26.1,1339.0,312.36,1
41.0942,-123.311,2020-09-29,0.2436,14711.07,2.7,42.3,1120.0,446.67,1
34.2341,-117.929,2020-09-09,0.421,14956.07,3.393,20.4,882.0,316.72,1
40.123,-123.1775,2020-09-09,0.3811,14823.21,4.52,25.3,1003.0,520.91,1
39.895815,-115.252087,2020-08-19,0.2439,14912.5,3.986,15.7,2315.0,284.76,0
35.158387,-116.239511,2020-08-11,0.0911,15327.5,4.473,16.0,628.0,399.75,0
37.1679,-121.4338,2020-08-26,0.3025,14653.93,4.014,62.4,684.0,421.16,1
35.448179,-116.364781,2020-09-16,0.0998,15128.93,5.164,14.3,1033.0,372.84,0
39.9115,-123.1066,2020-10-05,0.3117,14603.93,3.074,22.1,1380.0,425.46,1
37.3633,-121.5759,2020-08-20,0.3187,14953.21,5.003,37.7,598.0,349.59,1
40.026255,-115.361871,2020-09-08,0.2207,14511.79,4.801,18.7,2187.0,276.8,0
32.7492,-116.6947,2020-09-06,0.2551,15027.5,4.379,35.9,888.0,271.55,1
39.8881,-120.8176,2020-08-27,0.4318,14701.79,3.68,45.1,1496.0,419.16,1
40.4218,-120.8286,2020-07-20,0.3054,14795.36,4.013,39.6,1639.0,330.56,1
41.265878,-117.068818,2020-08-05,0.1018,14927.5,5.823,20.6,1611.0,272.53,0
39.788541,-117.825706,2020-09-30,0.1027,14731.79,3.783,16.4,1237.0,223.44,0
36.3694,-118.7463,2020-10-06,0.4659,14513.93,2.984,25.0,1776.0,248.88,1
39.9717,-122.825,2020-09-09,0.3407,14809.64,3.114,24.6,1249.0,520.91,1
37.3246,-119.1187,2020-10-02,0.2251,14335.36,3.337,33.3,2358.0,255.31,1
41.0347,-123.5465,2020-09-21,0.4661,14469.64,3.247,65.9,787.0,460.52,1
37.1881,-119.1606,2020-09-16,0.3022,14350.36,4.354,38.6,2393.0,357.01,1
37.3004,-121.4984,2020-08-21,0.2962,15018.93,4.623,32.9,694.0,430.21,1
37.1326,-121.2875,2020-08-23,0.2981,14908.21,5.349,52.0,388.0,422.52,1
39.9597,-122.8042,2020-09-08,0.3874,14819.64,3.06,23.7,1336.0,559.2,1
36.6615,-119.7045,2020-03-02,0.3334,14386.79,3.83,47.6,95.0,152.95,1
37.3881,-119.073,2020-10-19,0.2899,14286.07,3.063,29.6,2301.0,233.85,1
39.7973,-121.1758,2020-09-09,0.4039,14731.79,5.357,23.1,1554.0,492.45,1
39.7995,-121.2691,2020-09-14,0.3854,14585.36,4.049,29.0,1585.0,479.35,1
37.424226,-117.975525,2020-08-18,0.1396,15022.5,4.387,20.9,1832.0,275.67,0
40.0164,-122.9126,2020-09-11,0.3511,14583.93,3.171,24.7,1541.0,512.79,1
41.926,-123.5724,2020-09-12,0.3829,14639.64,3.639,30.6,1216.0,578.1,1
38.8861,-122.3199,2020-08-27,0.401,14958.93,3.834,39.3,527.0,521.05,1
38.68382,-117.843239,2020-09-19,0.0777,14632.5,5.659,25.0,1704.0,237.63,0
39.8351,-121.0164,2020-09-02,0.435,14771.79,3.763,33.9,1364.0,480.98,1
36.1791,-121.6498,2020-08-21,0.3117,15094.64,3.051,30.0,994.0,149.24,1
39.9494,-122.9595,2020-09-08,0.4014,14756.07,3.326,23.0,1509.0,527.3,1
37.4042,-118.9917,2020-11-02,0.2214,14028.93,3.07,35.0,2567.0,165.86,1
34.310137,-115.168818,2020-09-19,0.0749,15321.79,3.973,15.6,374.0,366.1,0
39.7601,-122.8624,2020-09-08,0.4164,14713.93,2.819,22.3,1810.0,527.3,1
37.564093,-118.08415,2020-09-08,0.2004,14593.21,4.69,18.6,2244.0,272.69,0
38.5256,-122.6336,2020-09-28,0.4606,14917.5,4.369,36.7,338.0,409.2,1
36.1427,-118.4897,2020-09-16,0.3135,14593.93,3.329,31.0,1727.0,306.87,1
38.229,-121.9749,2020-10-26,0.2995,14481.07,6.497,44.0,-1.0,317.7,1
37.727492,-117.188738,2020-05-05,0.0986,14544.64,6.044,13.1,1781.0,98.14,0
39.9354,-122.7833,2020-09-02,0.3547,14662.5,2.474,29.4,1992.0,549.71,1
37.3614,-121.715,2020-08-20,0.4624,14968.93,4.734,36.1,709.0,349.59,1
37.4096,-119.1311,2020-10-26,0.2359,14153.93,3.647,28.1,1762.0,220.82,1
39.4825,-122.9944,2020-09-17,0.3704,14602.5,3.177,44.0,934.0,450.27,1
39.75538,-122.773062,2020-08-17,0.2606,14901.79,3.129,31.1,1230.0,590.41,1
40.2457,-123.2959,2020-10-03,0.4622,14672.5,3.413,31.9,943.0,435.17,1
41.8623,-123.5074,2020-09-08,0.1924,14828.93,3.287,22.3,862.0,589.42,1
38.832851,-122.737817,2020-08-18,0.2381,15073.93,4.247,29.1,775.0,533.85,1
38.610862,-122.353468,2020-09-27,0.4602,14950.36,3.963,39.1,171.0,403.97,1
39.5479,-122.7424,2020-08-24,0.3679,14898.93,3.236,36.1,1015.0,551.25,1
38.925305,-122.764909,2020-09-27,0.1063,14812.5,4.171,37.1,670.0,462.47,1
35.18697,-121.365164,2020-09-03,0.2396,14451.07,7.931,89.1,0.0,142.01,0
36.255002,-118.207088,2020-08-28,0.4007,14453.93,4.753,30.6,2636.0,264.67,0
